STATE,NAME,YRDATA,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURELSC,TCURINST,TCURSSVC,TCUROTH,NONELSEC,TCAPOUT
Alabama,AUTAUGA COUNTY SCHOOL DISTRICT,2015,79665,7574,53244,18847,76069,72872,44085,23217,5570,1010,691
Alabama,BALDWIN COUNTY SCHOOL DISTRICT,2015,330317,23602,143282,163433,297083,269928,155668,99682,14578,4957,13256
Alabama,BARBOUR COUNTY SCHOOL DISTRICT,2015,10519,2518,5632,2369,10314,9957,5249,3835,873,145,0
Alabama,EUFAULA CITY SCHOOL DISTRICT,2015,26076,3374,16048,6654,25602,24232,14887,7494,1851,333,990
Alabama,BIBB COUNTY SCHOOL DISTRICT,2015,31825,3586,21687,6552,31293,29133,16019,10822,2292,658,858
Alabama,BLOUNT COUNTY SCHOOL DISTRICT,2015,68788,6899,48574,13315,70196,64708,37979,22471,4258,1067,3881
Alabama,ONEONTA CITY SCHOOL DISTRICT,2015,13097,982,8397,3718,12547,11536,6967,3706,863,680,102
Alabama,BULLOCK COUNTY SCHOOL DISTRICT,2015,17079,5084,9299,2696,17130,16585,8338,6803,1444,256,134
Alabama,BUTLER COUNTY SCHOOL DISTRICT,2015,32384,6791,18442,7151,31796,29145,15807,11046,2292,653,557
Alabama,ANNISTON CITY SCHOOL DISTRICT,2015,23569,4277,12051,7241,24126,23525,12458,9403,1664,262,316
Alabama,CALHOUN COUNTY SCHOOL DISTRICT,2015,86576,8527,55399,22650,88294,82443,45044,31182,6217,948,4685
Alabama,JACKSONVILLE CITY SCHOOL DISTRICT,2015,19037,1430,8437,9170,19276,13791,8065,4747,979,110,4961
Alabama,PIEDMONT CITY SCHOOL DISTRICT,2015,11432,1466,7186,2780,11518,10647,6181,3875,591,300,513
Alabama,OXFORD CITY SCHOOL DISTRICT,2015,42966,3708,22683,16575,42261,38342,22672,13221,2449,270,1907
Alabama,CHAMBERS COUNTY SCHOOL DISTRICT,2015,35315,4977,21437,8901,38963,33372,17794,12483,3095,451,4556
Alabama,LANETT CITY SCHOOL DISTRICT,2015,9109,1691,5549,1869,8830,8517,5053,2712,752,99,162
Alabama,CHEROKEE COUNTY SCHOOL DISTRICT,2015,40440,4180,24076,12184,39728,36716,20972,12842,2902,648,1586
Alabama,CHILTON COUNTY SCHOOL DISTRICT,2015,65928,7912,43922,14094,64113,62059,37644,19025,5390,856,631
Alabama,CHOCTAW COUNTY SCHOOL DISTRICT,2015,17992,2511,8798,6683,17690,14886,7134,6508,1244,305,1998
Alabama,CLARKE COUNTY SCHOOL DISTRICT,2015,28990,4500,17832,6658,34616,27289,14185,10297,2807,522,6097
Alabama,THOMASVILLE CITY SCHOOL DISTRICT,2015,14042,1363,8746,3933,13877,13223,7336,4965,922,175,366
Alabama,CLAY COUNTY SCHOOL DISTRICT,2015,18342,1986,12851,3505,18544,17138,10224,5647,1267,467,622
